Age (Ma),SL (compared to present)
0.15,1.26
0.26,-79.63
0.97,-78.92
1.08,1.39
1.19,11.33
1.29,18.02
1.43,19.51
1.59,13.09
1.66,-0.89
1.73,-73.65
1.75,-77.67
1.94,-79.54
2.04,-75.45
2,-2.69
2.07,6.17
2.24,16.42
2.39,7.73
2.42,-3.54
2.46,-64.17
2.54,-71.55
2.61,-67.02
2.71,-60.11
2.77,-24.61
2.84,10.99
2.86,15.86
2.98,16.48
3.08,11.37
3.16,-62.69
3.14,-68.1
3.16,-72.97
3.27,-75.06
3.38,-69.66
3.43,-62.53
3.54,28.06
3.59,41.15
3.64,51.32
3.75,54.76
3.82,55.07
3.92,46.17
3.99,31
4.1,-20.33
4.11,-25.97
4.19,-27.83
4.27,-21.99
4.34,-14.32
4.36,1.59
4.34,61.46
4.4,67.62
4.44,69.67
4.51,68.14
4.63,70.39
4.78,79.67
4.92,85.05
5.23,88.24
5.47,87.75
5.65,83.82
5.71,71.9
5.83,-32.27
5.86,-38.13
5.97,-42.81
6.12,-36.23
6.15,-28.23
6.18,28.5
6.34,34.31
6.44,35.37
6.58,29.71
6.59,20.72
6.63,-18.48
6.73,-23.48
6.91,-26.22
7.01,-23.1
7.08,-18.13
7.11,-2.98
7.31,5.11
7.56,11.02
7.89,11.3
8.24,7.56
8.45,-2
8.66,-16.32
8.85,-21.87
9.08,-24.18
9.61,-24.48
9.78,-19.1
9.97,-7.99
10.07,-2.4
10.22,-0.31
10.36,-0.8
10.46,-3.88
10.52,-12.78
10.76,-69.08
10.79,-75.59
10.86,-79.08
10.97,-75.56
10.99,-67.45
11.01,25.76
11.05,39.7
11.15,49.72
11.27,52.9
11.4,53.39
11.53,52.24
11.65,46.98
11.7,41.76
11.81,39.65
11.89,48.16
11.93,82.68
12.03,91.11
12.31,96.25
12.61,94.67
12.8,89.76
12.94,84.86
13.12,84.39
13.23,90.11
13.29,118.79
13.44,127.42
13.72,136.57
14.12,142.98
14.52,141.38
14.8,137.11
14.89,57.08
15.02,52.51
15.08,58.24
15.11,101.21
15.25,133.87
15.31,140.14
15.52,143.23
15.77,138.83
15.83,131.13
15.92,45.69
15.98,41.24
16.09,41.64
16.13,50.62
16.18,89.36
16.22,106.79
16.24,122.48
16.32,131.01
16.43,135.75
16.6,138.3
16.77,137.18
16.87,133.26
16.94,122.31
17.01,116.88
17.13,115.33
17.4,118.73
17.74,120.7
18.07,118.46
18.61,106.63
19.27,87.1
19.83,67.69
20.01,64.18
20.14,66.96
20.25,74.3
20.33,110.65
20.41,117.23
20.6,120.64
20.77,116.37
20.82,109.11
20.95,102.57
21.1,110.65
21.29,118.39
21.69,128.24
22.06,133.22
22.44,134.09
22.88,129.1
23.18,121.33
23.35,104.17
23.44,45.04
23.5,35.06
23.65,33.28
23.76,39.53
23.85,71.45
23.86,80.86
24.05,85.26
24.25,84.25
24.38,75.68
24.45,61.37
24.45,53.36
24.68,47.36
24.89,54.24
25.06,69.37
25.24,77.24
25.52,80.86
25.8,80.81
26.04,76.43
26.26,66.96
26.55,36.7
26.64,31.49
26.84,30.26
26.99,34.01
27.14,58.13
27.68,62.07
28.29,56.48
28.8,37.69
28.93,20.46
28.99,10.06
29.23,3.1
29.5,1.01
29.93,11.14
29.93,35.06
30.16,131.72
30.11,148.02
30.37,167.15
30.59,177.32
30.84,178.81
31.02,175.68
31.22,173.42
31.36,178.86
31.8,192.24
32.14,196.27
32.46,196.3
32.77,192.65
33.08,179.26
33.12,160.95
33.29,111.11
33.37,102.64
33.57,103.46
33.67,113.39
33.72,137.74
33.77,147.46
33.88,151.31
34.04,149.51
34.08,142.24
34.1,135.95
34.19,131.7
34.28,132.74
34.36,138.89
34.72,142.74
35.02,136.63
35.08,129.8
35.45,124.88
35.91,129.57
36.23,133.3
36.57,128.25
36.67,120.01
36.8,102.01
37.23,94.57
37.37,158.74
37.57,170.61
37.68,175.03
37.99,175.95
38.4,171.98
38.74,173.32
38.96,177.51
39.04,187.13
39.34,192.38
39.65,192.01
39.85,180.72
40.1,151.99
40.29,144.05
40.68,139.66
41.01,139.72
41.36,146.48
41.64,168.52
41.75,174.78
42.08,177.97
42.42,174.66
42.65,172.24
42.92,174.03
43.22,186.86
43.54,200.55
43.95,208.48
44.55,210.85
44.98,205.57
45.14,200.23
45.32,194.35
45.54,191.82
45.95,196.49
46.44,207.65
46.71,213.01
47.18,214.2
47.39,211.13
47.57,204.05
47.62,169.18
47.81,161.56
48.07,160.53
48.28,168.93
48.33,183.1
48.56,186.1
48.75,185.43
48.86,178.8
49.16,80.03
49.3,71.68
49.54,83.33
49.56,92.31
49.76,187.11
49.83,195.54
49.89,198.87
50.02,200.13
50.12,195.33
50.33,202.11
50.41,206.32
50.62,202.92
50.81,207.33
51.05,210.98
51.35,212.14
51.52,204.86
51.57,184.07
51.78,176.68
52.04,180.11
52.27,208.97
52.31,215.02
52.4,217.16
52.48,212.7
52.52,207.06
52.6,206.28
52.67,211.57
52.92,220.15
53.03,217.62
53.15,212.17
53.24,209
53.47,211.99
54.04,214.08
54.43,209.92
54.66,160.52
54.86,154.33
55.11,157.65
55.26,197.25
55.41,187.37
55.43,164.85
55.56,134.08
55.64,130.82
55.7,138.71
55.7,172.7
55.83,177.64
55.89,170.81
55.89,71.96
55.9,72.6
55.97,173.79
56.19,184.45
56.48,191.64
56.79,193.4
57.15,192.99
57.3,190.14
57.65,177.17
58.66,70.62
58.71,61.08
58.92,56.16
59.15,65.3
59.22,148.21
59.27,173.51
59.34,178.66
59.41,179.26
59.47,172.84
59.54,154.17
59.62,149.25
59.69,151.05
59.75,166.83
59.86,180.65
60.11,192.15
60.41,198.65
60.77,197.88
61.12,194.08
61.41,191.38
61.69,193.45
62.03,201.02
62.5,198.53
62.57,199.34
62.64,200.7
62.71,202.6
62.79,203.41
62.86,204.5
62.93,205.1
63,205.1
63.07,207
63.14,207
63.21,207
63.29,207
63.36,207
63.43,207
63.5,207
63.57,207
63.64,207
63.71,207
63.79,207
63.86,207
63.93,207
64,207
64.07,207
64.14,207
64.21,207
64.29,207
64.36,207
64.43,207.1
64.5,207.1
64.57,207.1
64.64,207.1
64.71,205.2
64.79,201.4
64.86,197.6
64.93,193.8
65,190
65.1,187.47
65.2,186.2
65.3,186.3
65.4,188.2
65.5,188.2
65.55,190.1
65.6,192
65.65,194.85
65.7,195.8
65.75,195.8
65.8,192
65.85,154.03
65.9,121.9
65.95,120
66,154.1
66.18,188.2
66.35,195.8
66.53,199.6
66.71,203.4
66.88,205.3
67.06,207.2
67.24,209.1
67.41,211
67.59,212.9
67.77,214.8
67.94,214.8
68.12,214.8
68.3,214.8
68.47,214.8
68.65,214.8
68.83,214.8
69,212.9
69.18,211
69.36,211
69.53,209.1
69.71,207.3
69.89,203.5
70.06,200.33
70.24,196.38
70.42,189.57
70.59,177.57
70.77,169.4
70.95,169.4
71.12,180.8
71.3,191.15
71.39,198.75
71.48,205.4
71.57,209.2
71.66,213
71.75,214.9
71.84,218.7
71.93,220.6
72.02,222.5
72.11,224.4
72.2,226.3
72.29,226.3
72.38,226.3
72.47,228.2
72.56,228.2
72.65,228.2
72.74,229.71
72.83,229.78
72.92,229.8
73.01,229.8
73.1,229.8
73.19,229.8
73.28,229.8
73.37,229.53
73.46,227.93
73.55,227.99
73.64,225.56
73.73,222.84
73.82,222.26
73.91,222.21
74,220.3
74.1,216.4
74.19,214.03
74.29,209.75
74.38,203.48
74.48,196.16
74.57,191.5
74.67,189.6
74.76,189.6
74.86,189.6
74.95,191.5
75.05,198.2
75.14,206.8
75.24,211.6
75.33,218.3
75.43,222.1
75.52,225.9
75.62,229.8
75.71,233.6
75.81,236.45
75.9,237.4
